Frame,car,bike,truck,tuk tuk,ambulance,bus,person,potholes,lorry
0,4,1,1,0,0,1,5,0,0
1,4,1,1,0,0,1,5,0,0
2,4,1,1,0,0,1,4,0,0
3,3,1,1,0,0,1,4,0,0
4,4,1,1,0,0,1,4,0,0
5,4,1,1,0,0,1,4,0,0
6,3,1,1,0,0,1,4,0,0
7,3,1,1,0,0,1,4,0,0
8,3,1,1,0,0,1,3,0,0
9,3,1,1,0,0,1,3,0,0
10,2,1,1,0,0,1,4,0,0
11,2,1,1,0,0,1,4,0,0
12,2,1,0,0,0,2,4,0,0
13,2,1,0,0,0,2,4,0,0
14,2,1,0,0,0,2,4,0,0
15,2,1,0,0,0,2,4,0,0
16,2,1,0,0,0,1,4,0,0
17,2,1,0,0,0,1,4,0,0
18,2,1,1,0,0,1,4,0,0
19,2,1,0,0,0,1,4,0,0
20,3,1,1,0,0,1,4,0,0
21,3,1,1,0,0,1,4,0,0
22,3,1,1,0,0,2,5,0,0
23,3,1,1,0,0,2,5,0,0
24,2,1,1,0,0,2,4,0,0
25,2,1,0,0,0,2,4,0,0
26,3,1,1,0,0,1,4,0,0
27,3,1,0,0,0,1,4,0,0
28,3,1,0,0,0,1,4,0,0
29,3,1,0,0,0,1,4,0,0
30,1,1,0,0,0,1,5,0,0
31,1,1,0,0,0,1,5,0,0
32,1,1,0,0,0,1,5,0,0
33,1,1,0,0,0,1,5,0,0
34,1,1,0,0,0,1,5,0,0
35,1,1,0,0,0,1,5,0,0
36,2,1,0,0,0,1,7,0,0
37,2,1,0,0,0,1,7,0,0
38,2,1,0,0,0,1,7,0,0
39,2,1,0,0,0,1,6,0,0
40,2,1,0,0,0,1,6,0,0
41,3,2,0,0,0,1,6,0,0
42,4,1,0,0,0,1,6,0,0
43,4,1,0,0,0,1,6,0,0
44,4,1,0,0,0,1,6,0,0
45,4,1,0,0,0,1,6,0,0
46,4,1,0,0,0,1,5,0,0
47,4,1,0,0,0,1,5,0,0
48,3,1,0,0,0,1,4,0,0
49,3,1,0,0,0,1,4,0,0
50,3,1,0,0,0,1,3,0,0
51,3,1,0,0,0,1,3,0,0
52,4,1,0,0,0,1,4,0,0
53,4,1,0,0,0,1,4,0,0
54,4,1,0,0,0,1,4,0,0
55,4,1,0,0,0,1,4,0,0
56,4,1,0,0,0,1,5,0,0
57,5,1,0,0,0,1,5,0,0
58,5,1,0,0,0,1,4,0,0
59,5,1,0,0,0,1,4,0,0
60,5,1,0,0,0,1,4,0,0
61,5,1,0,0,0,1,4,0,0
62,5,1,0,0,0,1,4,0,0
63,5,1,0,0,0,1,4,0,0
64,5,1,0,0,0,1,4,0,0
65,5,1,0,0,0,1,4,0,0
66,5,1,0,0,0,1,5,0,0
67,5,1,0,0,0,1,5,0,0
68,4,1,0,0,0,1,4,0,0
69,4,1,0,0,0,1,4,0,0
70,4,1,0,0,0,1,4,0,0
71,4,1,0,0,0,1,4,0,0
72,5,1,0,0,0,1,5,0,0
73,5,1,0,0,0,1,5,0,0
74,5,1,0,0,0,1,5,0,0
75,5,1,0,0,0,1,5,0,0
76,5,1,0,0,0,1,5,0,0
77,5,1,0,0,0,1,5,0,0
78,5,1,0,0,0,1,5,0,0
79,5,1,0,0,0,1,5,0,0
80,3,1,0,0,0,1,4,0,0
81,3,1,0,0,0,1,4,0,0
82,4,1,0,0,0,1,5,0,0
83,4,1,1,0,0,1,5,0,0
84,4,1,1,0,0,1,5,0,0
85,4,1,1,0,0,1,5,0,0
86,4,1,1,0,0,1,4,0,0
87,4,1,1,0,0,1,4,0,0
88,4,1,0,0,0,1,4,0,0
89,4,1,0,0,0,1,4,0,0
90,4,1,0,0,0,2,5,0,0
91,4,1,0,0,0,2,5,0,0
92,4,1,0,0,0,2,5,0,0
93,4,1,0,0,0,2,5,0,0
94,4,2,0,0,0,1,4,0,0
95,4,2,0,0,0,1,4,0,0
96,4,1,0,0,0,2,3,0,0
97,4,1,0,0,0,2,3,0,0
98,3,1,0,0,0,2,2,0,0
99,4,1,0,0,0,2,2,0,0
100,4,1,0,0,0,2,1,0,0
101,4,1,0,0,0,2,1,0,0
102,4,1,0,0,0,1,3,0,0
103,3,1,0,0,0,2,3,0,0
104,3,1,0,0,0,2,4,0,0
105,3,1,0,0,0,2,4,0,0
106,3,1,0,0,0,2,3,0,0
107,3,1,0,0,0,2,3,0,0
108,4,1,0,0,0,2,4,0,0
109,4,1,0,0,0,2,4,0,0
110,4,1,0,0,0,1,3,0,0
111,4,1,0,0,0,1,3,0,0
112,5,0,0,0,0,2,2,0,0
113,4,0,0,0,0,2,2,0,0
114,5,0,0,0,0,2,2,0,0
115,5,1,0,0,0,2,2,0,0
116,4,1,0,0,0,2,1,0,0
117,4,1,0,0,0,2,1,0,0
118,4,1,0,0,0,2,2,0,0
119,4,1,0,0,0,2,2,0,0
120,6,1,1,0,0,2,3,0,0
121,6,1,1,0,0,2,3,0,0
122,5,2,1,0,0,2,3,0,0
123,5,2,1,0,0,2,3,0,0
124,5,1,0,0,0,2,2,0,0
125,5,1,0,0,0,2,2,0,0
126,5,1,0,0,0,2,4,0,0
127,5,1,0,0,0,2,4,0,0
128,5,2,0,0,0,2,4,0,0
129,5,2,0,0,0,2,4,0,0
130,4,1,0,0,0,1,4,0,0
131,4,1,0,0,0,1,4,0,0
132,4,2,0,0,0,1,2,0,0
133,4,2,0,0,0,1,2,0,0
134,4,3,0,0,0,1,2,0,0
135,4,3,0,0,0,1,2,0,0
136,4,2,0,0,0,1,3,0,0
137,4,1,0,0,0,1,3,0,0
138,4,2,0,0,0,2,2,0,0
139,4,2,0,0,0,2,2,0,0
140,4,2,0,0,0,2,4,0,0
141,4,2,0,0,0,2,3,0,0
142,4,2,0,0,0,2,5,0,0
143,4,2,0,0,0,2,5,0,0
144,4,1,0,0,0,2,3,0,0
145,4,1,0,0,0,2,3,0,0
146,4,1,1,0,0,2,4,0,0
147,4,1,1,0,0,2,4,0,0
148,4,1,1,0,0,2,4,0,0
149,4,1,1,0,0,2,4,0,0
150,4,1,0,0,0,2,5,0,0
151,4,1,0,0,0,1,5,0,0
152,4,1,0,0,0,1,5,0,0
153,4,1,0,0,0,1,4,0,0
154,3,1,0,0,0,1,4,0,0
155,3,1,0,0,0,1,4,0,0
156,3,2,0,0,0,1,3,0,0
157,3,2,0,0,0,1,3,0,0
158,3,2,0,0,0,1,5,0,0
159,4,2,1,0,0,1,5,0,0
160,4,1,0,0,0,1,5,0,0
161,4,1,0,0,0,1,5,0,0
162,3,1,0,0,0,2,5,0,0
163,4,1,0,0,0,2,6,0,0
164,4,1,0,0,0,2,6,0,0
165,4,1,0,0,0,2,6,0,0
166,4,1,0,0,0,2,4,0,0
167,4,1,0,0,0,2,4,0,0
168,4,1,0,0,0,2,4,0,0
169,4,1,0,0,0,2,4,0,0
170,4,1,1,0,0,2,4,0,0
171,4,1,1,0,0,2,4,0,0
172,4,1,1,0,0,1,5,0,0
173,4,1,1,0,0,1,5,0,0
174,4,1,1,0,0,1,4,0,0
175,3,1,1,0,0,1,4,0,0
176,3,1,1,0,0,1,3,0,0
177,4,1,1,0,0,1,3,0,0
178,4,1,1,0,0,1,4,0,0
179,4,1,1,0,0,1,4,0,0
180,3,1,1,0,0,1,4,0,0
181,3,1,1,0,0,1,4,0,0
182,3,1,1,0,0,1,5,0,0
183,3,1,1,0,0,1,4,0,0
184,2,1,1,0,0,1,4,0,0
185,3,1,1,0,0,1,4,0,0
186,3,1,1,0,0,1,5,0,0
187,3,1,1,0,0,1,5,0,0
188,2,1,1,0,0,1,6,0,0
189,2,1,1,0,0,1,5,0,0
190,4,1,2,0,0,1,6,0,0
191,4,1,2,0,0,1,6,0,0
192,4,1,2,0,0,1,4,0,0
193,4,1,2,0,0,1,4,0,0
194,3,1,2,0,0,1,4,0,0
195,3,1,2,0,0,1,4,0,0
196,2,1,2,0,0,1,4,0,0
197,2,1,2,0,0,1,4,0,0
198,2,1,2,0,0,1,4,0,0
199,2,1,2,0,0,1,4,0,0
200,3,1,2,0,0,1,4,0,0
201,3,1,2,0,0,1,4,0,0
202,3,1,2,0,0,1,4,0,0
203,2,1,2,0,0,1,4,0,0
204,2,1,2,0,0,1,5,0,0
205,2,1,2,0,0,1,5,0,0
206,2,1,1,0,0,2,5,0,0
207,2,1,1,0,0,2,5,0,0
208,2,1,1,0,0,2,4,0,0
209,2,1,1,0,0,2,4,0,0
210,2,2,1,0,0,1,4,0,0
211,2,2,1,0,0,1,4,0,0
212,2,1,1,0,0,1,4,0,0
213,2,1,1,0,0,1,4,0,0
214,2,1,1,0,0,1,4,0,0
215,2,1,1,0,0,1,4,0,0
216,2,1,1,0,0,1,4,0,0
217,2,1,1,0,0,1,4,0,0
218,4,1,1,0,0,1,4,0,0
219,4,1,1,0,0,1,4,0,0
220,3,1,1,0,0,1,4,0,0
221,3,1,1,0,0,1,4,0,0
222,4,1,2,0,0,1,4,0,0
223,4,1,2,0,0,1,4,0,0
224,3,1,2,0,0,1,4,0,0
225,3,1,1,0,0,1,4,0,0
226,4,1,0,0,0,1,4,0,0
227,3,1,1,0,0,1,4,0,0
228,3,1,1,0,0,1,4,0,0
229,3,1,1,0,0,1,4,0,0
230,2,1,1,0,0,1,4,0,0
231,3,1,1,0,0,1,4,0,0
232,3,1,1,0,0,1,4,0,0
233,3,1,1,0,0,1,4,0,0
234,3,1,1,0,0,1,4,0,0
235,3,1,1,0,0,1,4,0,0
236,3,1,1,0,0,1,4,0,0
237,3,1,1,0,0,1,4,0,0
238,4,1,0,0,0,1,5,0,0
239,4,1,0,0,0,1,5,0,0
240,3,1,1,0,0,1,6,0,0
241,3,1,1,0,0,1,6,0,0
242,3,2,1,0,0,1,5,0,0
243,3,2,1,0,0,1,5,0,0
244,3,1,1,0,0,1,5,0,1
245,3,1,1,0,0,1,5,0,1
246,3,2,1,0,0,1,5,0,0
247,3,1,1,0,0,1,5,0,0
248,3,2,1,0,0,1,5,0,0
249,3,2,1,0,0,1,5,0,0
250,2,2,1,0,0,1,5,0,0
251,2,2,1,0,0,1,5,0,0
252,2,1,1,0,0,1,5,0,0
253,2,1,1,0,0,1,5,0,0
254,2,1,1,0,0,1,5,0,0
255,2,1,1,0,0,1,5,0,0
256,4,1,1,0,0,1,4,0,0
257,4,1,1,0,0,1,4,0,0
258,4,1,1,0,0,2,4,0,0
259,4,1,1,0,0,2,4,0,0
260,4,1,2,0,0,2,4,0,0
261,4,1,1,0,0,2,4,0,0
262,4,1,2,0,0,2,4,0,0
263,4,1,2,0,0,2,4,0,0
264,5,1,2,0,0,1,4,0,0
265,5,1,2,0,0,1,4,0,0
266,4,1,1,0,0,1,6,0,0
267,4,1,2,0,0,1,6,0,0
268,3,1,2,0,0,1,5,0,0
269,4,1,1,0,0,1,5,0,0
270,4,1,1,0,0,2,6,0,0
271,4,1,1,0,0,2,6,0,0
272,5,2,1,0,0,2,5,0,0
273,5,2,1,0,0,2,5,0,0
274,5,1,1,0,0,2,5,0,0
275,5,1,1,0,0,2,5,0,0
276,4,1,2,0,0,2,5,0,0
277,4,1,2,0,0,2,5,0,0
278,4,2,2,0,0,2,5,0,0
279,4,2,2,0,0,2,5,0,0
280,3,1,1,0,0,2,5,0,0
281,2,1,1,0,0,2,5,0,0
282,3,3,1,0,0,1,5,0,0
283,3,1,1,0,0,1,5,0,0
284,3,1,1,0,0,2,5,0,0
285,3,1,1,0,0,2,5,0,0
286,3,1,0,0,0,2,5,0,0
287,3,1,0,0,0,2,5,0,0
288,3,1,1,0,0,1,5,0,0
289,4,1,1,0,0,1,5,0,0
290,4,1,1,0,0,2,5,0,0
291,4,1,1,0,0,2,5,0,0
292,3,1,1,0,0,2,5,0,0
293,3,1,1,0,0,2,5,0,0
294,3,1,1,0,0,1,3,0,0
295,3,1,1,0,0,1,3,0,0
296,4,0,1,0,0,2,4,0,0
297,4,0,1,0,0,1,3,0,0
298,3,1,0,0,0,1,5,0,0
299,3,1,1,0,0,0,5,0,0
300,2,0,0,0,0,1,5,0,0
301,2,0,0,0,0,1,5,0,0
302,2,0,0,0,0,0,5,0,0
303,2,0,0,0,0,0,5,0,0
304,2,0,0,0,0,2,6,0,0
305,2,0,0,0,0,2,6,0,0
306,2,0,1,0,0,0,5,0,0
307,2,0,1,0,0,1,5,0,0
308,2,0,0,0,0,0,5,0,0
309,2,0,0,0,0,0,5,0,0
310,2,0,0,0,0,1,4,0,0
311,2,1,0,0,0,1,4,0,0
312,2,1,0,0,0,1,4,0,0
313,2,1,0,0,0,1,4,0,0
314,2,1,0,0,0,1,5,0,0
315,2,1,0,0,0,1,5,0,0
316,2,1,0,0,0,2,4,0,0
317,2,1,0,0,0,1,4,0,0
318,2,1,0,0,0,1,4,0,0
319,2,1,0,0,0,1,4,0,0
320,3,1,0,0,0,0,3,0,0
321,3,1,0,0,0,1,4,0,0
322,3,0,0,0,0,2,5,0,0
323,3,0,0,0,0,1,5,0,0
324,2,2,0,0,0,1,6,0,0
325,2,3,0,0,0,1,6,0,0
326,2,2,0,0,0,1,6,0,0
327,2,2,0,0,0,1,6,0,0
328,3,2,0,0,0,1,4,0,0
329,4,2,0,0,0,1,4,0,0
330,2,2,0,0,0,1,4,0,0
331,2,2,0,0,0,1,4,0,0
332,4,1,0,0,0,1,4,0,0
333,4,1,0,0,0,1,4,0,0
334,4,1,0,0,0,0,4,0,0
335,4,1,0,0,0,0,4,0,0
336,4,2,0,0,0,1,4,0,0
337,4,2,0,0,0,1,4,0,0
338,4,2,0,0,0,1,5,0,0
339,4,2,0,0,0,1,5,0,0
340,4,2,0,0,0,1,5,0,0
341,4,2,0,0,0,1,5,0,0
342,4,2,0,0,0,1,6,0,0
343,4,2,0,0,0,1,6,0,0
344,4,1,0,0,0,1,6,0,0
345,5,1,0,0,0,1,6,0,0
346,3,1,0,0,0,1,6,0,0
347,3,1,0,0,0,1,6,0,0
348,3,1,0,0,0,1,6,0,0
349,3,1,0,0,0,1,6,0,0
350,3,1,0,0,0,1,6,0,0
351,3,1,0,0,0,1,6,0,0
352,2,1,0,0,0,1,6,0,0
353,2,1,0,0,0,1,5,0,0
354,2,1,0,0,0,1,6,0,0
355,2,1,0,0,0,1,5,0,0
356,2,1,0,0,0,1,6,0,0
357,2,2,0,0,0,1,5,0,0
358,2,1,0,0,0,1,6,0,0
359,2,1,0,0,0,1,6,0,0
360,2,3,0,0,0,2,4,0,0
361,2,2,0,0,0,1,4,0,0
362,2,1,0,0,0,1,6,0,0
363,2,1,0,0,0,1,6,0,0
364,2,1,0,0,0,0,6,0,0
365,2,1,0,0,0,0,6,0,0
366,2,1,0,0,0,2,6,0,0
367,2,1,0,0,0,2,6,0,0
368,2,1,0,0,0,1,7,0,0
369,2,1,0,0,0,1,7,0,0
370,2,1,0,0,0,1,7,0,0
371,2,1,0,0,0,1,7,0,0
372,2,1,0,0,0,1,5,0,0
373,2,1,0,0,0,1,5,0,0
374,2,1,0,0,0,1,5,0,0
375,2,1,0,0,0,1,5,0,0
376,2,2,0,0,0,1,5,0,0
377,2,2,0,0,0,1,6,0,0
378,2,1,0,0,0,1,6,0,0
379,2,2,0,0,0,1,6,0,0
380,1,3,0,0,0,1,6,0,0
381,1,3,0,0,0,1,6,0,0
382,1,5,0,0,0,1,5,0,0
383,1,5,0,0,0,1,5,0,0
384,2,3,0,0,0,2,6,0,0
385,2,3,0,0,0,2,6,0,0
386,2,2,0,0,0,1,4,0,0
387,2,3,0,0,0,1,5,0,0
388,2,2,0,0,0,1,4,0,0
389,2,2,0,0,0,1,4,0,0
390,1,2,0,0,0,2,7,0,0
391,1,2,0,0,0,2,8,0,0
392,1,2,0,0,0,1,5,0,0
393,1,2,0,0,0,1,6,0,0
394,1,4,0,0,0,0,5,0,0
395,1,3,0,0,0,0,5,0,0
396,1,3,0,0,0,0,4,0,0
397,1,4,0,0,0,0,4,0,0
398,1,3,0,0,0,0,6,0,0
399,1,3,0,0,0,0,6,0,0
400,2,1,0,0,0,0,5,0,0
401,2,1,0,0,0,0,5,0,0
402,2,1,0,0,0,0,4,0,0
403,2,1,0,0,0,0,3,0,0
404,2,2,0,0,0,0,6,0,0
405,2,2,0,0,0,0,5,0,0
406,2,3,0,0,0,1,5,0,0
407,2,3,0,0,0,1,5,0,0
408,2,3,0,0,0,1,6,0,0
409,2,3,0,0,0,1,6,0,0
410,2,3,0,0,0,1,6,0,0
411,2,3,0,0,0,1,6,0,0
412,1,3,0,0,0,1,7,0,0
413,1,3,0,0,0,1,7,0,0
414,1,2,0,0,0,1,5,0,0
415,1,2,0,0,0,1,5,0,0
416,2,4,0,0,0,2,8,0,0
417,2,4,0,0,0,2,8,0,0
418,2,4,0,0,0,2,7,0,0
419,2,4,0,0,0,2,7,0,0
420,1,3,0,0,0,2,7,0,0
421,1,3,0,0,0,2,7,0,0
422,1,3,0,0,0,1,6,0,0
423,1,3,0,0,0,1,6,0,0
424,1,3,0,0,0,2,8,0,0
425,1,3,0,0,0,2,8,0,0
426,1,1,0,0,0,1,8,0,0
427,1,1,0,0,0,1,8,0,0
428,0,1,0,0,0,1,8,0,0
429,0,1,0,0,0,0,8,0,0
430,0,1,0,0,0,1,6,0,0
431,0,1,0,0,0,1,6,0,0
432,1,1,0,0,0,1,7,0,0
433,1,1,0,0,0,0,6,0,0
434,0,1,0,0,0,1,7,0,0
435,1,1,0,0,0,1,7,0,0
436,0,1,0,0,0,1,7,0,0
437,0,1,0,0,0,1,6,0,0
438,0,1,0,0,0,1,5,0,0
439,0,2,0,0,0,1,6,0,0
440,0,2,0,0,0,1,7,0,0
441,0,2,0,0,0,1,7,0,0
442,0,2,0,0,0,1,8,0,0
443,0,2,0,0,0,1,8,0,0
444,0,2,0,0,0,1,8,0,0
445,0,2,0,0,0,1,7,0,0
446,0,2,0,0,0,0,7,0,0
447,0,2,0,0,0,0,7,0,0
448,0,2,0,0,0,0,7,0,0
449,0,2,0,0,0,0,7,0,0
450,0,1,0,0,0,2,7,0,0
451,1,1,0,0,0,2,8,0,0
452,0,1,0,0,0,2,7,0,0
453,0,1,0,0,0,2,7,0,0
454,0,2,0,0,0,2,7,0,0
455,1,1,0,0,0,2,7,0,0
456,0,2,0,0,0,2,8,0,0
457,0,2,0,0,0,2,8,0,0
458,1,1,0,0,0,1,7,0,0
459,1,1,0,0,0,1,7,0,0
460,1,3,0,0,0,0,7,0,0
461,1,3,0,0,0,0,7,0,0
462,1,2,0,0,0,0,7,0,0
463,1,2,0,0,0,0,7,0,0
464,1,2,0,0,0,1,7,0,0
465,1,2,0,0,0,1,7,0,0
466,1,2,0,0,0,1,7,0,0
467,1,2,0,0,0,1,7,0,0
468,1,2,0,0,0,0,7,0,0
469,1,2,0,0,0,0,7,0,0
470,0,2,0,0,0,1,7,0,0
471,0,2,0,0,0,1,7,0,0
472,1,4,0,0,0,1,7,0,0
473,1,3,0,0,0,1,7,0,0
474,0,3,0,0,0,0,7,0,0
475,0,3,0,0,0,0,7,0,0
476,1,3,0,0,0,2,7,0,0
477,1,3,0,0,0,2,7,0,0
478,1,3,0,0,0,2,8,0,0
479,1,3,0,0,0,2,8,0,0
480,2,3,0,0,0,2,7,0,0
481,2,3,0,0,0,2,7,0,0
482,2,2,0,0,0,2,8,0,0
483,2,3,0,0,0,2,8,0,0
484,2,2,0,0,0,2,8,0,0
485,1,2,0,0,0,2,8,0,0
486,1,2,0,0,0,1,8,0,0
487,1,2,0,0,0,1,8,0,0
488,1,1,0,0,0,2,7,0,0
489,1,1,0,0,0,2,7,0,0
490,1,2,0,0,0,2,7,0,0
491,1,2,0,0,0,2,7,0,0
492,1,2,0,0,0,2,7,0,0
493,1,2,0,0,0,2,7,0,0
494,1,2,0,0,0,2,7,0,0
495,1,2,0,0,0,2,7,0,0
496,1,2,0,0,0,2,6,0,0
497,1,2,0,0,0,2,7,0,0
498,2,2,0,0,0,2,7,0,0
499,2,2,0,0,0,2,7,0,0
500,2,2,0,0,0,2,6,0,0
501,2,2,0,0,0,2,6,0,0
502,2,2,0,0,0,2,8,0,0
503,2,2,0,0,0,2,8,0,0
504,3,2,0,0,0,2,10,0,0
505,3,2,0,0,0,2,10,0,0
506,3,2,0,0,0,2,7,0,0
507,3,2,0,0,0,2,7,0,0
508,3,2,0,0,0,2,7,0,0
509,3,2,0,0,0,2,7,0,0
510,3,1,0,0,0,2,6,0,0
511,3,1,0,0,0,2,7,0,0
512,3,1,0,0,0,2,6,0,0
513,3,1,0,0,0,2,6,0,0
514,3,2,0,0,0,3,6,0,0
515,3,2,0,0,0,3,6,0,0
516,2,2,0,0,0,2,7,0,0
517,2,2,0,0,0,2,7,0,0
518,1,2,0,0,0,2,7,0,0
519,1,2,0,0,0,2,7,0,0
520,1,1,0,0,0,2,7,0,0
521,2,1,0,0,0,2,7,0,0
522,2,1,0,0,0,2,7,0,0
523,2,1,0,0,0,2,7,0,0
524,2,1,0,0,0,2,7,0,0
525,2,1,0,0,0,2,7,0,0
526,1,1,0,0,0,2,7,0,0
527,2,1,0,0,0,2,7,0,0
528,2,1,0,0,0,1,7,0,0
529,1,1,0,0,0,1,7,0,0
530,2,1,0,0,0,1,6,0,0
531,2,1,0,0,0,2,6,0,0
532,2,1,0,0,0,2,6,0,0
533,3,1,0,0,0,2,6,0,0
534,3,3,0,0,0,2,6,0,0
535,3,3,0,0,0,2,6,0,0
536,2,3,0,0,0,2,5,0,0
537,1,3,0,0,0,2,5,0,0
538,2,2,0,0,0,2,6,0,0
539,3,2,0,0,0,2,5,0,0
540,3,1,1,0,0,2,7,0,0
541,3,1,1,0,0,2,7,0,0
542,3,2,1,0,0,2,7,0,0
543,3,2,1,0,0,2,7,0,0
544,2,3,0,0,0,2,7,0,0
545,2,3,0,0,0,2,7,0,0
546,1,1,0,0,0,1,6,0,0
547,0,1,0,0,0,1,7,0,0
548,2,1,0,0,0,1,7,0,0
549,2,1,0,0,0,1,7,0,0
550,2,1,0,0,0,1,7,0,0
551,3,1,0,0,0,1,7,0,0
552,0,1,0,0,0,1,7,0,0
553,0,1,0,0,0,1,7,0,0
554,0,1,0,0,0,1,6,0,0
555,1,1,0,0,0,1,6,0,0
556,1,1,0,0,0,1,6,0,0
557,1,1,0,0,0,1,6,0,0
558,1,1,0,0,0,2,6,0,0
559,1,1,0,0,0,2,6,0,0
560,0,1,0,0,0,1,5,0,0
561,1,1,0,0,0,1,5,0,0
562,2,1,0,0,0,2,5,0,0
563,2,1,0,0,0,2,5,0,0
564,1,1,0,0,0,1,4,0,0
565,2,1,0,0,0,1,4,0,0
566,1,1,0,0,0,2,5,0,0
567,1,1,0,0,0,2,5,0,0
568,1,1,0,0,0,2,4,0,0
569,1,1,0,0,0,2,5,0,0
570,0,1,0,0,0,2,4,0,0
571,0,1,0,0,0,2,4,0,0
572,0,1,0,0,0,2,5,0,0
573,1,1,0,0,0,2,5,0,0
574,1,1,2,0,0,2,5,0,0
575,1,1,2,0,0,2,5,0,0
576,0,1,1,0,0,2,5,0,0
577,0,1,1,0,0,2,5,0,0
578,0,1,2,0,0,1,6,0,0
579,0,1,2,0,0,1,6,0,0
580,1,1,0,0,0,1,6,0,0
581,0,1,0,0,0,1,6,0,0
582,0,1,0,0,0,2,6,0,0
583,0,1,1,0,0,2,6,0,0
584,1,1,0,0,0,1,7,0,0
585,1,1,0,0,0,1,6,0,0
586,1,1,1,0,0,2,7,0,0
587,1,1,1,0,0,2,7,0,0
588,1,1,0,0,0,1,6,0,0
589,1,1,0,0,0,1,6,0,0
590,1,1,0,0,0,1,6,0,0
591,1,1,0,0,0,1,6,0,0
592,0,1,0,0,0,2,6,0,0
593,0,1,0,0,0,2,6,0,0
594,0,1,0,0,0,2,6,0,0
595,1,1,0,0,0,2,6,0,0
596,0,1,0,0,0,2,7,0,0
597,0,1,0,0,0,1,7,0,0
598,0,1,0,0,0,1,7,0,0
599,0,1,0,0,0,1,7,0,0
600,1,1,1,0,0,2,7,0,0
601,1,1,1,0,0,2,7,0,0
602,1,1,1,0,0,2,7,0,0
603,1,1,1,0,0,2,8,0,0
604,0,1,1,0,0,2,8,0,0
605,0,1,1,0,0,2,8,0,0
606,1,1,1,0,0,2,8,0,0
607,0,1,1,0,0,2,8,0,0
